1480343385 10532368384 0 {'kernel': 32080000000L, 'idle': 179021990000000L, 'user': 140080000000L, 'iowait': 79760000000L}
1480343387 10532098048 0 {'kernel': 32080000000L, 'idle': 179023800000000L, 'user': 140080000000L, 'iowait': 79960000000L}
1480343389 10532110336 0 {'kernel': 32080000000L, 'idle': 179025800000000L, 'user': 140080000000L, 'iowait': 79960000000L}
1480343391 10532163584 0 {'kernel': 32080000000L, 'idle': 179027790000000L, 'user': 140080000000L, 'iowait': 79960000000L}
1480343393 10532163584 0 {'kernel': 32080000000L, 'idle': 179029800000000L, 'user': 140080000000L, 'iowait': 79960000000L}
1480343395 10532036608 0 {'kernel': 32080000000L, 'idle': 179031800000000L, 'user': 140080000000L, 'iowait': 79960000000L}
1480343397 10531401728 0 {'kernel': 32080000000L, 'idle': 179033800000000L, 'user': 140080000000L, 'iowait': 79960000000L}
1480343399 10531348480 0 {'kernel': 32080000000L, 'idle': 179035800000000L, 'user': 140080000000L, 'iowait': 79960000000L}
1480343401 10531274752 0 {'kernel': 32080000000L, 'idle': 179037800000000L, 'user': 140090000000L, 'iowait': 79960000000L}
1480343403 10530766848 0 {'kernel': 32080000000L, 'idle': 179039800000000L, 'user': 140090000000L, 'iowait': 79960000000L}
1480343405 10530766848 0 {'kernel': 32080000000L, 'idle': 179041800000000L, 'user': 140090000000L, 'iowait': 79960000000L}
1480343407 10452819968 1 {'kernel': 32100000000L, 'idle': 179043730000000L, 'user': 140100000000L, 'iowait': 79980000000L}
1480343409 10364063744 2 {'kernel': 32120000000L, 'idle': 179045640000000L, 'user': 140140000000L, 'iowait': 80000000000L}
1480343411 10364063744 2 {'kernel': 32130000000L, 'idle': 179047640000000L, 'user': 140140000000L, 'iowait': 80000000000L}
1480343413 10363572224 2 {'kernel': 32130000000L, 'idle': 179049640000000L, 'user': 140140000000L, 'iowait': 80000000000L}
1480343415 10361618432 2 {'kernel': 32140000000L, 'idle': 179051610000000L, 'user': 140150000000L, 'iowait': 80000000000L}
1480343417 10436005888 1 {'kernel': 32140000000L, 'idle': 179053600000000L, 'user': 140170000000L, 'iowait': 80000000000L}
1480343419 10435317760 1 {'kernel': 32140000000L, 'idle': 179055580000000L, 'user': 140180000000L, 'iowait': 80000000000L}
1480343421 10435260416 1 {'kernel': 32150000000L, 'idle': 179057580000000L, 'user': 140180000000L, 'iowait': 80000000000L}
1480343423 10439024640 1 {'kernel': 32160000000L, 'idle': 179059570000000L, 'user': 140200000000L, 'iowait': 80000000000L}
1480343425 10442973184 1 {'kernel': 32160000000L, 'idle': 179061550000000L, 'user': 140220000000L, 'iowait': 80000000000L}
1480343427 10446823424 1 {'kernel': 32160000000L, 'idle': 179063540000000L, 'user': 140230000000L, 'iowait': 80000000000L}
1480343429 10449342464 1 {'kernel': 32170000000L, 'idle': 179065540000000L, 'user': 140240000000L, 'iowait': 80000000000L}
1480343431 10449481728 1 {'kernel': 32170000000L, 'idle': 179067520000000L, 'user': 140260000000L, 'iowait': 80000000000L}
1480343433 10449608704 1 {'kernel': 32170000000L, 'idle': 179069520000000L, 'user': 140270000000L, 'iowait': 80000000000L}
1480343435 10449481728 1 {'kernel': 32170000000L, 'idle': 179071500000000L, 'user': 140280000000L, 'iowait': 80000000000L}
1480343437 10449481728 1 {'kernel': 32180000000L, 'idle': 179073490000000L, 'user': 140290000000L, 'iowait': 80000000000L}
1480343439 10449481728 1 {'kernel': 32190000000L, 'idle': 179075480000000L, 'user': 140300000000L, 'iowait': 80000000000L}
1480343441 10449481728 1 {'kernel': 32200000000L, 'idle': 179077470000000L, 'user': 140300000000L, 'iowait': 80000000000L}
1480343443 10449608704 1 {'kernel': 32200000000L, 'idle': 179079460000000L, 'user': 140320000000L, 'iowait': 80000000000L}
1480343445 10368143360 3 {'kernel': 32350000000L, 'idle': 179080910000000L, 'user': 140720000000L, 'iowait': 80000000000L}
1480343447 10224308224 4 {'kernel': 32370000000L, 'idle': 179082850000000L, 'user': 140740000000L, 'iowait': 80000000000L}
1480343449 10224173056 4 {'kernel': 32380000000L, 'idle': 179084830000000L, 'user': 140750000000L, 'iowait': 80000000000L}
1480343451 10224529408 4 {'kernel': 32390000000L, 'idle': 179086810000000L, 'user': 140760000000L, 'iowait': 80000000000L}
1480343453 10228473856 4 {'kernel': 32390000000L, 'idle': 179088780000000L, 'user': 140760000000L, 'iowait': 80000000000L}
1480343455 10231955456 4 {'kernel': 32420000000L, 'idle': 179090730000000L, 'user': 140760000000L, 'iowait': 80000000000L}
1480343457 10239336448 4 {'kernel': 32420000000L, 'idle': 179092710000000L, 'user': 140760000000L, 'iowait': 80000000000L}
1480343459 10242945024 4 {'kernel': 32430000000L, 'idle': 179094690000000L, 'user': 140760000000L, 'iowait': 80000000000L}
1480343461 10247008256 4 {'kernel': 32440000000L, 'idle': 179096680000000L, 'user': 140760000000L, 'iowait': 80000000000L}
1480343463 10250817536 4 {'kernel': 32440000000L, 'idle': 179098680000000L, 'user': 140760000000L, 'iowait': 80000000000L}
1480343465 10254479360 4 {'kernel': 32450000000L, 'idle': 179100670000000L, 'user': 140760000000L, 'iowait': 80000000000L}
1480343467 10258182144 4 {'kernel': 32450000000L, 'idle': 179102660000000L, 'user': 140770000000L, 'iowait': 80000000000L}
1480343469 10262224896 4 {'kernel': 32450000000L, 'idle': 179104640000000L, 'user': 140780000000L, 'iowait': 80000000000L}
1480343471 10259365888 4 {'kernel': 32470000000L, 'idle': 179106600000000L, 'user': 140780000000L, 'iowait': 80000000000L}
1480343473 10224427008 4 {'kernel': 32610000000L, 'idle': 179107480000000L, 'user': 141750000000L, 'iowait': 80010000000L}
1480343475 9906438144 4 {'kernel': 32620000000L, 'idle': 179109400000000L, 'user': 141820000000L, 'iowait': 80010000000L}
1480343477 9894264832 3 {'kernel': 32680000000L, 'idle': 179111180000000L, 'user': 142000000000L, 'iowait': 80010000000L}
1480343479 9510420480 3 {'kernel': 32740000000L, 'idle': 179112620000000L, 'user': 142150000000L, 'iowait': 80330000000L}
1480343481 9057816576 3 {'kernel': 32850000000L, 'idle': 179114020000000L, 'user': 142420000000L, 'iowait': 80580000000L}
1480343483 8627695616 3 {'kernel': 32920000000L, 'idle': 179115750000000L, 'user': 142560000000L, 'iowait': 80640000000L}
1480343485 8194904064 3 {'kernel': 33020000000L, 'idle': 179117480000000L, 'user': 142740000000L, 'iowait': 80660000000L}
1480343487 7742042112 3 {'kernel': 33100000000L, 'idle': 179119290000000L, 'user': 142820000000L, 'iowait': 80700000000L}
1480343489 7296040960 3 {'kernel': 33180000000L, 'idle': 179121080000000L, 'user': 142920000000L, 'iowait': 80730000000L}
