1480715916 11900801024 0 {'kernel': 46040000000L, 'idle': 22378440000000L, 'user': 258560000000L, 'iowait': 75170000000L}
1480715918 11900239872 0 {'kernel': 46050000000L, 'idle': 22380410000000L, 'user': 258590000000L, 'iowait': 75170000000L}
1480715920 11899174912 0 {'kernel': 46060000000L, 'idle': 22382370000000L, 'user': 258640000000L, 'iowait': 75170000000L}
1480715922 11899404288 0 {'kernel': 46070000000L, 'idle': 22384350000000L, 'user': 258650000000L, 'iowait': 75170000000L}
1480715924 11901054976 0 {'kernel': 46080000000L, 'idle': 22386320000000L, 'user': 258690000000L, 'iowait': 75170000000L}
1480715926 11901308928 0 {'kernel': 46090000000L, 'idle': 22388300000000L, 'user': 258690000000L, 'iowait': 75170000000L}
1480715928 11900928000 0 {'kernel': 46090000000L, 'idle': 22390280000000L, 'user': 258700000000L, 'iowait': 75170000000L}
1480715930 11900928000 0 {'kernel': 46100000000L, 'idle': 22392270000000L, 'user': 258700000000L, 'iowait': 75170000000L}
1480715932 11900420096 0 {'kernel': 46110000000L, 'idle': 22394180000000L, 'user': 258780000000L, 'iowait': 75170000000L}
1480715934 11900166144 0 {'kernel': 46120000000L, 'idle': 22396100000000L, 'user': 258840000000L, 'iowait': 75170000000L}
1480715936 11900293120 0 {'kernel': 46130000000L, 'idle': 22398090000000L, 'user': 258850000000L, 'iowait': 75170000000L}
1480715938 11900080128 0 {'kernel': 46140000000L, 'idle': 22400060000000L, 'user': 258860000000L, 'iowait': 75170000000L}
1480715940 11899928576 0 {'kernel': 46140000000L, 'idle': 22402030000000L, 'user': 258870000000L, 'iowait': 75170000000L}
1480715942 11900055552 0 {'kernel': 46140000000L, 'idle': 22404000000000L, 'user': 258930000000L, 'iowait': 75170000000L}
1480715944 11890262016 0 {'kernel': 46160000000L, 'idle': 22405930000000L, 'user': 258950000000L, 'iowait': 75190000000L}
1480715946 11890769920 0 {'kernel': 46170000000L, 'idle': 22407840000000L, 'user': 259030000000L, 'iowait': 75200000000L}
1480715948 11889737728 0 {'kernel': 46180000000L, 'idle': 22409760000000L, 'user': 259080000000L, 'iowait': 75210000000L}
1480715950 11897503744 0 {'kernel': 46190000000L, 'idle': 22411560000000L, 'user': 259230000000L, 'iowait': 75260000000L}
1480715952 11893989376 0 {'kernel': 46190000000L, 'idle': 22413500000000L, 'user': 259270000000L, 'iowait': 75260000000L}
1480715954 11893944320 0 {'kernel': 46190000000L, 'idle': 22415390000000L, 'user': 259360000000L, 'iowait': 75270000000L}
1480715956 11893690368 0 {'kernel': 46210000000L, 'idle': 22417370000000L, 'user': 259370000000L, 'iowait': 75270000000L}
1480715958 11889319936 0 {'kernel': 46220000000L, 'idle': 22419310000000L, 'user': 259420000000L, 'iowait': 75270000000L}
1480715960 11881508864 0 {'kernel': 46230000000L, 'idle': 22421200000000L, 'user': 259470000000L, 'iowait': 75300000000L}
1480715962 11877335040 0 {'kernel': 46240000000L, 'idle': 22423180000000L, 'user': 259490000000L, 'iowait': 75300000000L}
1480715964 11874803712 0 {'kernel': 46250000000L, 'idle': 22425160000000L, 'user': 259500000000L, 'iowait': 75300000000L}
1480715966 11871199232 0 {'kernel': 46250000000L, 'idle': 22427120000000L, 'user': 259510000000L, 'iowait': 75300000000L}
1480715968 11768963072 1 {'kernel': 46300000000L, 'idle': 22428630000000L, 'user': 259840000000L, 'iowait': 75400000000L}
1480715970 11857768448 1 {'kernel': 46310000000L, 'idle': 22430620000000L, 'user': 259850000000L, 'iowait': 75410000000L}
1480715972 11853500416 1 {'kernel': 46310000000L, 'idle': 22432610000000L, 'user': 259850000000L, 'iowait': 75410000000L}
1480715974 11852922880 1 {'kernel': 46310000000L, 'idle': 22434580000000L, 'user': 259870000000L, 'iowait': 75410000000L}
1480715976 11864027136 1 {'kernel': 46310000000L, 'idle': 22436570000000L, 'user': 259880000000L, 'iowait': 75410000000L}
1480715978 11872739328 1 {'kernel': 46320000000L, 'idle': 22438540000000L, 'user': 259890000000L, 'iowait': 75410000000L}
1480715980 11868172288 1 {'kernel': 46350000000L, 'idle': 22440500000000L, 'user': 259890000000L, 'iowait': 75410000000L}
1480715982 11866886144 1 {'kernel': 46360000000L, 'idle': 22442430000000L, 'user': 259940000000L, 'iowait': 75410000000L}
1480715984 11727622144 3 {'kernel': 46390000000L, 'idle': 22444340000000L, 'user': 259990000000L, 'iowait': 75410000000L}
1480715986 11627941888 4 {'kernel': 46410000000L, 'idle': 22446190000000L, 'user': 260100000000L, 'iowait': 75420000000L}
1480715988 11625021440 4 {'kernel': 46420000000L, 'idle': 22448110000000L, 'user': 260170000000L, 'iowait': 75420000000L}
1480715990 11624595456 4 {'kernel': 46420000000L, 'idle': 22450100000000L, 'user': 260170000000L, 'iowait': 75420000000L}
1480715992 11626496000 4 {'kernel': 46420000000L, 'idle': 22452060000000L, 'user': 260190000000L, 'iowait': 75420000000L}
