1480718185 12434796544 0 {'kernel': 54430000000L, 'idle': 8181720000000L, 'user': 302470000000L, 'iowait': 375330000000L}
1480718187 12434415616 0 {'kernel': 54430000000L, 'idle': 8183720000000L, 'user': 302470000000L, 'iowait': 375330000000L}
1480718189 12434399232 0 {'kernel': 54430000000L, 'idle': 8185710000000L, 'user': 302490000000L, 'iowait': 375330000000L}
1480718191 12434272256 0 {'kernel': 54430000000L, 'idle': 8187710000000L, 'user': 302490000000L, 'iowait': 375330000000L}
1480718193 12433764352 0 {'kernel': 54440000000L, 'idle': 8189700000000L, 'user': 302490000000L, 'iowait': 375330000000L}
1480718195 12416929792 0 {'kernel': 54450000000L, 'idle': 8191660000000L, 'user': 302520000000L, 'iowait': 375330000000L}
1480718197 12409192448 0 {'kernel': 54460000000L, 'idle': 8193550000000L, 'user': 302620000000L, 'iowait': 375330000000L}
1480718199 12414746624 0 {'kernel': 54470000000L, 'idle': 8195520000000L, 'user': 302640000000L, 'iowait': 375330000000L}
1480718201 12414746624 0 {'kernel': 54470000000L, 'idle': 8197510000000L, 'user': 302660000000L, 'iowait': 375330000000L}
1480718203 12414763008 0 {'kernel': 54470000000L, 'idle': 8199500000000L, 'user': 302670000000L, 'iowait': 375330000000L}
1480718205 12414763008 0 {'kernel': 54490000000L, 'idle': 8201460000000L, 'user': 302670000000L, 'iowait': 375330000000L}
1480718207 12295737344 2 {'kernel': 54520000000L, 'idle': 8203240000000L, 'user': 302820000000L, 'iowait': 375370000000L}
1480718209 12273217536 2 {'kernel': 54520000000L, 'idle': 8205230000000L, 'user': 302820000000L, 'iowait': 375370000000L}
1480718211 12200792064 3 {'kernel': 54540000000L, 'idle': 8207190000000L, 'user': 302850000000L, 'iowait': 375370000000L}
1480718213 12118405120 4 {'kernel': 54710000000L, 'idle': 8208730000000L, 'user': 303120000000L, 'iowait': 375380000000L}
1480718215 12046827520 5 {'kernel': 54750000000L, 'idle': 8210450000000L, 'user': 303340000000L, 'iowait': 375390000000L}
1480718217 12051034112 5 {'kernel': 54760000000L, 'idle': 8212440000000L, 'user': 303350000000L, 'iowait': 375390000000L}
1480718219 12052447232 5 {'kernel': 54760000000L, 'idle': 8214430000000L, 'user': 303350000000L, 'iowait': 375390000000L}
1480718221 12054622208 5 {'kernel': 54770000000L, 'idle': 8216410000000L, 'user': 303360000000L, 'iowait': 375390000000L}
1480718223 12056756224 5 {'kernel': 54780000000L, 'idle': 8218400000000L, 'user': 303370000000L, 'iowait': 375390000000L}
1480718225 12058718208 5 {'kernel': 54780000000L, 'idle': 8220380000000L, 'user': 303370000000L, 'iowait': 375390000000L}
1480718227 12067225600 5 {'kernel': 54780000000L, 'idle': 8222370000000L, 'user': 303380000000L, 'iowait': 375390000000L}
